,alias,LATITUDE,LONGITUDE,display_phone,id,ADDRESS,CITY,COUNTRY,STATE,ZIPCODE,BUSINESS_NAME,phone,price,rating,review_count,url,PROPERTYTYPE,SOURCE,DATE_SCRAPED
0,community-centers-los-angeles,33.9710899,-118.2911,(323) 752-2115,UFAWqfdQWoBy-0hMJp5Qtg,7518-7526 S Vermont Ave,Los Angeles,US,CA,90044,Community Centers,+13237522115,NA,5.0,2,https://www.yelp.com/biz/community-centers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
1,community-coalition-los-angeles-2,33.96522,-118.29215,(323) 750-9087,4ruFtxEzE8oKsg-dwvscuA,8101 S Vermont Ave,Los Angeles,US,CA,90044,Community Coalition,+13237509087,NA,5.0,1,https://www.yelp.com/biz/community-coalition-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
2,jem-community-center-beverly-hills,34.0648324,-118.4124898,(310) 772-0000,Xam9ArYt625ijnmJ9GQ8iA,9930 S Santa Monica Blvd,Beverly Hills,US,CA,90212,JEM Community Center,+13107720000,NA,4.5,21,https://www.yelp.com/biz/jem-community-center-beverly-hills?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
3,south-la-cafe-los-angeles,34.011422,-118.309653,(213) 260-0633,yNNtnin-2Cv-hFt077oODQ,3991 S Western Ave,Los Angeles,US,CA,90062,South LA Cafe,+12132600633,$,4.5,19,https://www.yelp.com/biz/south-la-cafe-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
4,c-h-a-n-g-e-s-los-angeles,33.9385474020302,-118.309091093166,(323) 795-5802,ZsgfsmioJnyqppt0AJiqeA,10717 S Western Ave,Los Angeles,US,CA,90047,C.H.A.N.G.E.S.,+13237955802,NA,5.0,1,https://www.yelp.com/biz/c-h-a-n-g-e-s-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
5,hermosa-beach-community-center-community-resources-department-hermosa-beach,33.864036,-118.394073,(310) 318-0280,Vswzf75FTseTZE8-Mg4JSQ,710 Pier Ave,Hermosa Beach,US,CA,90254,Hermosa Beach Community Center - Community Resources Department,+13103180280,NA,4.0,8,https://www.yelp.com/biz/hermosa-beach-community-center-community-resources-department-hermosa-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
6,center-for-the-arts-eagle-rock-los-angeles,34.1396211728357,-118.214886188507,(323) 561-3044,B-Sb_dzgNcz8OHGYqI2jZg,2225 Colorado Blvd,Los Angeles,US,CA,90041,"Center for the Arts, Eagle Rock",+13235613044,NA,4.5,61,https://www.yelp.com/biz/center-for-the-arts-eagle-rock-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
7,mar-vista-family-center-los-angeles,33.993263,-118.406796,(310) 390-9607,rZKnWuaJxMBSohigJLCEjQ,5075 S Slauson Ave,Los Angeles,US,CA,90230,Mar Vista Family Center,+13103909607,NA,4.5,2,https://www.yelp.com/biz/mar-vista-family-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
8,lennox-park-lennox,33.93739,-118.35855,(310) 419-6712,rQCLYaswyvYeW5AcqaadJw,10828 Condon Ave,Lennox,US,CA,90304,Lennox Park,+13104196712,NA,4.5,4,https://www.yelp.com/biz/lennox-park-lennox?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
9,carson-center-carson,33.832684,-118.262039,(310) 835-0212,Wp46EEbepdmV0aWH7WS2Iw,801 E Carson St,Carson,US,CA,90745,Carson Center,+13108350212,NA,4.0,21,https://www.yelp.com/biz/carson-center-carson?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
10,aspca-spay-neuter-clinic-los-angeles,33.984561920166,-118.310913085938,,W7zvqI4HllEXTBczMMyygA,1850 W 60th St,Los Angeles,US,CA,90047,ASPCA Spay/Neuter Clinic,,NA,5.0,27,https://www.yelp.com/biz/aspca-spay-neuter-clinic-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
11,lawndale-community-center-lawndale,33.8979788,-118.3539849,(310) 973-3200,MubtEFl_qx7ETnZ_gL9Dvg,14717 Burin Ave,Lawndale,US,CA,90260,Lawndale Community Center,+13109733200,NA,3.0,5,https://www.yelp.com/biz/lawndale-community-center-lawndale?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
12,japanese-american-cultural-and-community-center-los-angeles,34.04778,-118.2418045,(213) 628-2725,6OiKH_2OT2r8P7M8gfdPPw,244 S San Pedro St,Los Angeles,US,CA,90012,Japanese American Cultural & Community Center,+12136282725,NA,4.5,27,https://www.yelp.com/biz/japanese-american-cultural-and-community-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
13,stoneview-nature-center-culver-city,34.0140202257974,-118.376888630411,,o2Av2eJqhjvxBLUGTJ9Hqw,5950 Stoneview Dr,Culver City,US,CA,90232,Stoneview Nature Center,,NA,5.0,6,https://www.yelp.com/biz/stoneview-nature-center-culver-city?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
14,chucos-justice-center-inglewood,33.9759298391701,-118.335641626783,(323) 235-4243,h8QvCkSoznsvn3nzDav7QA,1137 Redondo Blvd,Inglewood,US,CA,90302,Chuco's Justice Center,+13232354243,NA,4.5,4,https://www.yelp.com/biz/chucos-justice-center-inglewood?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
15,pacific-park-and-community-center-glendale,34.1398239,-118.2645416,(818) 548-4098,EBpsJCS_J11seTtjl1iSdw,501 S Pacific Ave,Glendale,US,CA,91204,Pacific Park and Community Center,+18185484098,NA,4.5,6,https://www.yelp.com/biz/pacific-park-and-community-center-glendale?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
16,the-catalina-room-redondo-beach,33.84029,-118.38778,(310) 928-7545,A0shY78Xmksxt4v4IxGVSA,128 S Catalina Ave,Redondo Beach,US,CA,90277,The Catalina Room,+13109287545,NA,4.5,12,https://www.yelp.com/biz/the-catalina-room-redondo-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
17,richstone-family-center-hawthorne,33.907253833,-118.34143,(310) 970-1921,7imbG5V-A1QRjEviese22w,13634 Cordary Ave,Hawthorne,US,CA,90250,Richstone Family Center,+13109701921,NA,5.0,5,https://www.yelp.com/biz/richstone-family-center-hawthorne?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
18,east-san-gabriel-valley-japanese-community-center-west-covina,34.083458,-117.9304935,(626) 960-2566,47FX-PvEBZJscis3-Wopnw,1203 W Puente Ave,West Covina,US,CA,91790,East San Gabriel Valley Japanese Community Center,+16269602566,NA,5.0,14,https://www.yelp.com/biz/east-san-gabriel-valley-japanese-community-center-west-covina?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
19,barbara-j-riley-community-and-senior-center-downey,33.9284279903587,-118.154278993607,(562) 904-7223,0QmJEmTU_LCxAYRQAq9kaQ,7810 Quill Dr,Downey,US,CA,90242,Barbara J Riley Community and Senior Center,+15629047223,NA,3.5,9,https://www.yelp.com/biz/barbara-j-riley-community-and-senior-center-downey?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,community center,yelp,12-01-2019
0,continental-currency-services-los-angeles-65,34.021153,-118.3726737,(310) 837-4421,PPUSt2OhZ-_4vC3S3rBkYw,5804 Rodeo Road,Los Angeles,US,CA,90016,Continental Currency Services,+13108374421,4.0,6,https://www.yelp.com/biz/continental-currency-services-los-angeles-65?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
1,cashback-loans-los-angeles,34.11486,-118.18138,(323) 430-9042,uxH6rFyUEqCb1yJA7qWgjw,107 N Avenue 64,Los Angeles,US,CA,90042,Cashback Loans,+13234309042,5.0,28,https://www.yelp.com/biz/cashback-loans-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
2,speedy-cash-los-angeles-9,33.98925,-118.33477,(323) 296-0260,c2sepQcKbmEX_QvkD8CAJQ,3555 W Slauson Ave,Los Angeles,US,CA,90043,Speedy Cash,+13232960260,2.5,3,https://www.yelp.com/biz/speedy-cash-los-angeles-9?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
3,fast-auto-and-payday-loans-los-angeles-8,33.97449,-118.25066,(323) 582-2147,lUJJiFJZgv7NC3J5FLnAXA,1332 E Florence Ave,Los Angeles,US,CA,90001,Fast Auto And Payday Loans,+13235822147,5.0,5,https://www.yelp.com/biz/fast-auto-and-payday-loans-los-angeles-8?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
4,continental-currency-services-ccs-culver-city,34.01638,-118.40558,(310) 204-2115,kLt4iDUEfMWO5pgS6JFiXQ,10716 W Washington,Culver City,US,CA,90232,Continental Currency Services - CCS,+13102042115,3.5,17,https://www.yelp.com/biz/continental-currency-services-ccs-culver-city?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
5,check-into-cash-los-angeles-4,34.01672,-118.3356,(323) 294-4532,PGcL1uvmei40m434F0a79Q,3829 Crenshaw Blvd,Los Angeles,US,CA,90008,Check Into Cash,+13232944532,1.0,3,https://www.yelp.com/biz/check-into-cash-los-angeles-4?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
6,pacific-cash-advance-carson,33.8675903,-118.2658851,(310) 715-1112,7wZVoyLQFLKS7GFM6RPSsA,17952 S Avalon,Carson,US,CA,90745,Pacific Cash Advance,+13107151112,5.0,1,https://www.yelp.com/biz/pacific-cash-advance-carson?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
7,e-z-check-advance-marina-del-rey,33.990393,-118.44723,(310) 340-7189,JApYL47Sw9ULTt4NDIDndw,4004 Lincoln Blvd,Marina Del Rey,US,CA,90292,E-Z Check Advance,+13103407189,4.0,5,https://www.yelp.com/biz/e-z-check-advance-marina-del-rey?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
8,cash-depot-hawthorne,33.9160843938589,-118.352787941694,(310) 676-9901,0xiwYvQkq6MIqSy2hkerWg,12829 Hawthorne Blvd,Hawthorne,US,CA,90250,Cash Depot,+13106769901,4.0,4,https://www.yelp.com/biz/cash-depot-hawthorne?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
9,rpm-lenders-los-angeles-14,34.0356,-118.27013,(213) 741-1111,0BoLWRVL2b6nxElti3IvPw,1721 S Flower St,Los Angeles,US,CA,90015,Rpm Lenders,+12137411111,5.0,2,https://www.yelp.com/biz/rpm-lenders-los-angeles-14?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
10,moneytree-long-beach,33.8613374311371,-118.166598049153,(562) 423-3224,_OykwcQLJr-MYHiVmIFrNw,2185 E South St,Long Beach,US,CA,90805,Moneytree,+15624233224,4.5,32,https://www.yelp.com/biz/moneytree-long-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
11,speedy-cash-los-angeles-3,33.9746377,-118.2819352,(323) 751-7509,o7wwBcggY2Shq3CaYd9FSQ,454 W Florence Ave,Los Angeles,US,CA,90003,Speedy Cash,+13237517509,2.0,4,https://www.yelp.com/biz/speedy-cash-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
12,b-and-b-check-cashing-huntington-park-2,33.96208,-118.19534,(323) 587-4362,wtxaqpvLGZNF12SWeFz-pg,4137 Santa Ana St,Huntington Park,US,CA,90255,B & B Check Cashing,+13235874362,5.0,1,https://www.yelp.com/biz/b-and-b-check-cashing-huntington-park-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
13,fast-auto-and-payday-loans-inglewood-3,33.9528449,-118.3600133,(424) 732-2365,nym6h_qZQmrEyo-CNN3b-Q,313 W Arbor Vitae St,Inglewood,US,CA,90301,Fast Auto and Payday Loans,+14247322365,3.0,2,https://www.yelp.com/biz/fast-auto-and-payday-loans-inglewood-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
14,la-cienega-check-cashing-los-angeles-2,34.0733769,-118.3765854,(818) 632-8382,MqejnLXpPTTIs1OH4YNjdg,8506 W 3rd St,Los Angeles,US,CA,90048,La Cienega Check Cashing,+18186328382,4.5,64,https://www.yelp.com/biz/la-cienega-check-cashing-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
15,rpm-lenders-los-angeles-13,34.0521668285293,-118.344316156215,(323) 634-9222,sp_0mAzqPzxH0EL4yRNwxg,1245 S La Brea Ave,Los Angeles,US,CA,90019,RPM Lenders,+13236349222,5.0,2,https://www.yelp.com/biz/rpm-lenders-los-angeles-13?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
16,ace-cash-express-los-angeles-33,33.974345,-118.283392,(323) 789-1210,AldNQ0ieQznJohgj2_wUsQ,7205 S Figueroa St,Los Angeles,US,CA,90003,ACE Cash Express,+13237891210,2.0,1,https://www.yelp.com/biz/ace-cash-express-los-angeles-33?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
17,continental-currency-services-ccs-south-gate,33.9645758,-118.2250751,(323) 587-7545,7xp7v9pkKdpSk6OPP_T1uA,8116 Long Beach Blvd,South Gate,US,CA,90280,Continental Currency Services - CCS,+13235877545,3.0,2,https://www.yelp.com/biz/continental-currency-services-ccs-south-gate?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
18,a-advance-payroll-gardena,33.89208984375,-118.295272827148,(310) 380-6700,yih5sK0jUP8LKIXZELiTTg,1124 W Redondo Beach Blvd,Gardena,US,CA,90247,A Advance Payroll,+13103806700,2.0,4,https://www.yelp.com/biz/a-advance-payroll-gardena?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,payday loans,yelp,12-01-2019
